"wielkosc","mnożenie_naiwne","mnożenie_ulepszone","mnożenie_BLAS"
1,0.000001,0.000001,0.000003
1,0.000001,0.000002,0.000001
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000000,0.000000
1,0.000001,0.000001,0.000001
1,0.000000,0.000000,0.000000
1,0.000001,0.000001,0.000001
2,0.000001,0.000001,0.000001
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000000,0.000000
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000001,0.000001
2,0.000000,0.000000,0.000000
2,0.000001,0.000001,0.000000
2,0.000000,0.000001,0.000001
3,0.000001,0.000000,0.000000
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000003,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
3,0.000000,0.000000,0.000000
3,0.000001,0.000001,0.000001
4,0.000000,0.000001,0.000001
4,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000000
4,0.000001,0.000000,0.000000
4,0.000001,0.000001,0.000000
4,0.000001,0.000001,0.000001
4,0.000000,0.000000,0.000000
4,0.000001,0.000001,0.000001
4,0.000001,0.000001,0.000001
4,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000000
5,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
5,0.000000,0.000000,0.000000
5,0.000001,0.000001,0.000000
5,0.000001,0.000001,0.000001
5,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
6,0.000001,0.000000,0.000001
6,0.000000,0.000000,0.000001
6,0.000000,0.000000,0.000001
6,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
6,0.000001,0.000001,0.000000
6,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
6,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000003
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000000
7,0.000001,0.000000,0.000001
7,0.000000,0.000000,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
7,0.000001,0.000001,0.000001
8,0.000004,0.000001,0.000001
8,0.000001,0.000001,0.000001
8,0.000001,0.000001,0.000001
8,0.000001,0.000000,0.000001
8,0.000001,0.000001,0.000001
8,0.000001,0.000000,0.000001
8,0.000001,0.000001,0.000001
8,0.000001,0.000000,0.000001
8,0.000001,0.000001,0.000001
8,0.000001,0.000000,0.000001
9,0.000001,0.000001,0.000001
9,0.000001,0.000001,0.000001
9,0.000001,0.000001,0.000001
9,0.000000,0.000001,0.000001
9,0.000001,0.000000,0.000001
9,0.000001,0.000001,0.000001
9,0.000001,0.000001,0.000004
9,0.000003,0.000002,0.000001
9,0.000001,0.000001,0.000001
9,0.000001,0.000000,0.000001
10,0.000001,0.000002,0.000001
10,0.000001,0.000001,0.000001
10,0.000002,0.000001,0.000002
10,0.000001,0.000001,0.000001
10,0.000001,0.000001,0.000001
10,0.000001,0.000001,0.000001
10,0.000002,0.000001,0.000002
10,0.000001,0.000001,0.000001
10,0.000001,0.000000,0.000001
10,0.000001,0.000001,0.000001
11,0.000002,0.000001,0.000001
11,0.000001,0.000001,0.000002
11,0.000001,0.000001,0.000002
11,0.000001,0.000001,0.000002
11,0.000001,0.000001,0.000001
11,0.000001,0.000001,0.000001
11,0.000002,0.000001,0.000001
11,0.000004,0.000002,0.000004
11,0.000002,0.000002,0.000002
11,0.000001,0.000001,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000001,0.000001
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000002,0.000002,0.000002
12,0.000003,0.000003,0.000003
13,0.000002,0.000001,0.000002
13,0.000002,0.000002,0.000002
13,0.000002,0.000001,0.000001
13,0.000002,0.000001,0.000001
13,0.000002,0.000002,0.000002
13,0.000002,0.000002,0.000002
13,0.000002,0.000002,0.000002
13,0.000002,0.000001,0.000002
13,0.000002,0.000001,0.000001
13,0.000002,0.000002,0.000002
14,0.000002,0.000002,0.000002
14,0.000003,0.000002,0.000002
14,0.000002,0.000001,0.000002
14,0.000006,0.000006,0.000003
14,0.000003,0.000002,0.000002
14,0.000002,0.000001,0.000002
14,0.000002,0.000001,0.000002
14,0.000002,0.000001,0.000002
14,0.000003,0.000002,0.000002
14,0.000002,0.000001,0.000002
15,0.000004,0.000006,0.000007
15,0.000003,0.000002,0.000003
15,0.000003,0.000001,0.000002
15,0.000003,0.000002,0.000003
15,0.000002,0.000002,0.000003
15,0.000003,0.000002,0.000002
15,0.000002,0.000002,0.000003
15,0.000003,0.000002,0.000002
15,0.000002,0.000002,0.000003
15,0.000003,0.000002,0.000002
16,0.000004,0.000006,0.000003
16,0.000003,0.000003,0.000021
16,0.000003,0.000002,0.000004
16,0.000004,0.000002,0.000003
16,0.000004,0.000002,0.000003
16,0.000003,0.000002,0.000003
16,0.000003,0.000002,0.000003
16,0.000003,0.000003,0.000003
16,0.000004,0.000002,0.000003
16,0.000003,0.000002,0.000003
17,0.000004,0.000002,0.000003
17,0.000003,0.000005,0.000009
17,0.000004,0.000002,0.000003
17,0.000004,0.000003,0.000003
17,0.000004,0.000003,0.000003
17,0.000003,0.000002,0.000003
17,0.000003,0.000002,0.000003
17,0.000003,0.000002,0.000003
17,0.000003,0.000002,0.000003
17,0.000004,0.000002,0.000004
18,0.000005,0.000007,0.000009
18,0.000005,0.000003,0.000004
18,0.000005,0.000003,0.000004
18,0.000004,0.000002,0.000004
18,0.000004,0.000003,0.000004
18,0.000004,0.000003,0.000003
18,0.000004,0.000002,0.000004
18,0.000004,0.000003,0.000004
18,0.000004,0.000003,0.000004
18,0.000004,0.000002,0.000007
19,0.000005,0.000003,0.000005
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000003,0.000004
19,0.000005,0.000004,0.000011
19,0.000005,0.000004,0.000005
19,0.000005,0.000003,0.000005
20,0.000007,0.000006,0.000005
20,0.000006,0.000003,0.000005
20,0.000006,0.000003,0.000005
20,0.000005,0.000003,0.000005
20,0.000006,0.000008,0.000009
20,0.000006,0.000004,0.000006
20,0.000006,0.000003,0.000004
20,0.000006,0.000004,0.000005
20,0.000006,0.000003,0.000005
20,0.000006,0.000003,0.000005
21,0.000007,0.000004,0.000005
21,0.000013,0.000004,0.000006
21,0.000007,0.000003,0.000006
21,0.000007,0.000003,0.000005
21,0.000007,0.000004,0.000005
21,0.000007,0.000004,0.000006
21,0.000007,0.000003,0.000005
21,0.000007,0.000004,0.000013
21,0.000007,0.000004,0.000006
21,0.000006,0.000017,0.000005
22,0.000008,0.000008,0.000007
22,0.000008,0.000005,0.000006
22,0.000008,0.000008,0.000011
22,0.000008,0.000004,0.000007
22,0.000008,0.000004,0.000006
22,0.000007,0.000004,0.000006
22,0.000008,0.000004,0.000006
22,0.000008,0.000004,0.000006
22,0.000011,0.000009,0.000006
22,0.000008,0.000004,0.000006
23,0.000010,0.000005,0.000008
23,0.000009,0.000005,0.000007
23,0.000009,0.000004,0.000007
23,0.000013,0.000008,0.000008
23,0.000009,0.000005,0.000007
23,0.000009,0.000004,0.000007
23,0.000009,0.000005,0.000007
23,0.000009,0.000005,0.000007
23,0.000013,0.000009,0.000007
23,0.000009,0.000005,0.000007
24,0.000011,0.000008,0.000008
24,0.000010,0.000005,0.000007
24,0.000011,0.000005,0.000008
24,0.000011,0.000006,0.000008
24,0.000010,0.000006,0.000008
24,0.000010,0.000005,0.000008
24,0.000010,0.000005,0.000007
24,0.000011,0.000005,0.000008
24,0.000011,0.000005,0.000008
24,0.000011,0.000006,0.000008
25,0.000012,0.000007,0.000009
25,0.000012,0.000010,0.000014
25,0.000012,0.000005,0.000009
25,0.000012,0.000005,0.000009
25,0.000011,0.000006,0.000022
25,0.000017,0.000009,0.000010
25,0.000012,0.000006,0.000009
25,0.000012,0.000006,0.000009
25,0.000012,0.000005,0.000009
25,0.000012,0.000013,0.000011
26,0.000013,0.000010,0.000010
26,0.000014,0.000007,0.000010
26,0.000013,0.000006,0.000015
26,0.000014,0.000007,0.000011
26,0.000013,0.000006,0.000009
26,0.000013,0.000006,0.000010
26,0.000014,0.000007,0.000018
26,0.000014,0.000007,0.000011
26,0.000013,0.000007,0.000010
26,0.000013,0.000006,0.000010
27,0.000022,0.000008,0.000012
27,0.000015,0.000007,0.000011
27,0.000015,0.000007,0.000011
27,0.000015,0.000012,0.000012
27,0.000014,0.000007,0.000010
27,0.000015,0.000007,0.000011
27,0.000014,0.000007,0.000011
27,0.000021,0.000007,0.000012
27,0.000014,0.000007,0.000010
27,0.000015,0.000007,0.000011
28,0.000035,0.000013,0.000013
28,0.000016,0.000008,0.000012
28,0.000017,0.000008,0.000016
28,0.000018,0.000007,0.000013
28,0.000017,0.000008,0.000013
28,0.000046,0.000008,0.000013
28,0.000016,0.000008,0.000012
28,0.000017,0.000008,0.000012
28,0.000023,0.000008,0.000013
28,0.000017,0.000008,0.000012
29,0.000018,0.000012,0.000021
29,0.000018,0.000008,0.000014
29,0.000018,0.000008,0.000013
29,0.000018,0.000009,0.000023
29,0.000018,0.000008,0.000027
29,0.000018,0.000009,0.000013
29,0.000025,0.000009,0.000015
29,0.000018,0.000009,0.000013
29,0.000018,0.000009,0.000013
29,0.000025,0.000009,0.000014
30,0.000021,0.000013,0.000015
30,0.000023,0.000014,0.000016
30,0.000020,0.000009,0.000014
30,0.000020,0.000009,0.000016
30,0.000024,0.000010,0.000015
30,0.000020,0.000009,0.000014
30,0.000020,0.000015,0.000017
30,0.000020,0.000009,0.000014
30,0.000020,0.000009,0.000014
30,0.000027,0.000009,0.000016
31,0.000022,0.000010,0.000016
31,0.000026,0.000013,0.000017
31,0.000022,0.000010,0.000016
31,0.000034,0.000019,0.000018
31,0.000022,0.000010,0.000016
31,0.000022,0.000010,0.000022
31,0.000022,0.000010,0.000017
31,0.000022,0.000010,0.000016
31,0.000028,0.000011,0.000017
31,0.000021,0.000010,0.000015
32,0.000025,0.000016,0.000017
32,0.000024,0.000011,0.000017
32,0.000024,0.000011,0.000018
32,0.000024,0.000011,0.000017
32,0.000024,0.000012,0.000027
32,0.000024,0.000011,0.000018
32,0.000025,0.000011,0.000026
32,0.000024,0.000011,0.000019
32,0.000024,0.000011,0.000017
32,0.000043,0.000011,0.000019
33,0.000026,0.000013,0.000028
33,0.000026,0.000012,0.000021
33,0.000026,0.000016,0.000025
33,0.000026,0.000012,0.000019
33,0.000026,0.000013,0.000027
33,0.000026,0.000012,0.000018
33,0.000026,0.000012,0.000028
33,0.000026,0.000012,0.000019
33,0.000026,0.000012,0.000028
33,0.000029,0.000012,0.000019
34,0.000035,0.000018,0.000022
34,0.000029,0.000013,0.000020
34,0.000036,0.000014,0.000023
34,0.000052,0.000020,0.000022
34,0.000029,0.000013,0.000021
34,0.000036,0.000013,0.000023
34,0.000029,0.000014,0.000021
34,0.000036,0.000014,0.000022
34,0.000028,0.000013,0.000020
34,0.000034,0.000013,0.000022
35,0.000036,0.000024,0.000030
35,0.000035,0.000016,0.000038
35,0.000035,0.000017,0.000029
35,0.000041,0.000017,0.000030
35,0.000035,0.000046,0.000039
35,0.000035,0.000016,0.000037
35,0.000035,0.000016,0.000031
35,0.000041,0.000017,0.000030
35,0.000034,0.000017,0.000037
35,0.000034,0.000017,0.000030
36,0.000041,0.000019,0.000026
36,0.000034,0.000025,0.000026
36,0.000034,0.000015,0.000024
36,0.000041,0.000016,0.000026
36,0.000034,0.000016,0.000073
36,0.000060,0.000016,0.000026
36,0.000046,0.000033,0.000029
36,0.000034,0.000028,0.000044
36,0.000034,0.000016,0.000040
36,0.000051,0.000015,0.000026
37,0.000055,0.000023,0.000029
37,0.000040,0.000021,0.000029
37,0.000037,0.000016,0.000035
37,0.000037,0.000017,0.000055
37,0.000044,0.000017,0.000028
37,0.000036,0.000025,0.000029
37,0.000037,0.000017,0.000031
37,0.000037,0.000017,0.000028
37,0.000041,0.000020,0.000028
37,0.000036,0.000016,0.000035
38,0.000040,0.000024,0.000037
38,0.000040,0.000018,0.000030
38,0.000047,0.000018,0.000031
38,0.000040,0.000044,0.000031
38,0.000040,0.000017,0.000028
38,0.000040,0.000018,0.000028
38,0.000040,0.000017,0.000028
38,0.000040,0.000018,0.000039
38,0.000040,0.000018,0.000031
38,0.000047,0.000018,0.000031
39,0.000050,0.000019,0.000033
39,0.000050,0.000019,0.000033
39,0.000043,0.000021,0.000039
39,0.000056,0.000019,0.000042
39,0.000043,0.000019,0.000034
39,0.000048,0.000019,0.000033
39,0.000050,0.000019,0.000033
39,0.000043,0.000028,0.000033
39,0.000043,0.000019,0.000041
39,0.000043,0.000019,0.000030
40,0.000050,0.000029,0.000049
40,0.000050,0.000037,0.000049
40,0.000050,0.000024,0.000049
40,0.000050,0.000023,0.000048
40,0.000050,0.000023,0.000048
40,0.000050,0.000024,0.000044
40,0.000050,0.000024,0.000043
40,0.000057,0.000024,0.000042
40,0.000056,0.000024,0.000042
40,0.000096,0.000024,0.000050
41,0.000050,0.000031,0.000038
41,0.000050,0.000022,0.000046
41,0.000050,0.000022,0.000047
41,0.000049,0.000022,0.000045
41,0.000049,0.000022,0.000043
41,0.000050,0.000022,0.000038
41,0.000049,0.000036,0.000035
41,0.000049,0.000022,0.000035
41,0.000057,0.000022,0.000038
41,0.000056,0.000022,0.000038
42,0.000058,0.000035,0.000055
42,0.000057,0.000027,0.000055
42,0.000057,0.000036,0.000048
42,0.000073,0.000032,0.000048
42,0.000065,0.000028,0.000048
42,0.000072,0.000028,0.000048
42,0.000069,0.000028,0.000048
42,0.000064,0.000027,0.000052
42,0.000057,0.000027,0.000054
42,0.000058,0.000028,0.000065
43,0.000058,0.000037,0.000044
43,0.000065,0.000026,0.000043
43,0.000065,0.000026,0.000044
43,0.000064,0.000026,0.000068
43,0.000065,0.000026,0.000044
43,0.000064,0.000026,0.000048
43,0.000081,0.000025,0.000052
43,0.000057,0.000025,0.000052
43,0.000057,0.000029,0.000049
43,0.000057,0.000034,0.000044
44,0.000073,0.000037,0.000056
44,0.000065,0.000031,0.000054
44,0.000066,0.000051,0.000056
44,0.000073,0.000032,0.000056
44,0.000072,0.000031,0.000063
44,0.000065,0.000031,0.000063
44,0.000066,0.000039,0.000056
44,0.000073,0.000031,0.000056
44,0.000085,0.000031,0.000063
44,0.000066,0.000036,0.000058
45,0.000073,0.000029,0.000050
45,0.000073,0.000029,0.000058
45,0.000065,0.000028,0.000057
45,0.000066,0.000038,0.000050
45,0.000074,0.000029,0.000050
45,0.000073,0.000029,0.000050
45,0.000071,0.000029,0.000058
45,0.000093,0.000030,0.000051
45,0.000072,0.000029,0.000050
45,0.000072,0.000029,0.000081
46,0.000077,0.000041,0.000049
46,0.000078,0.000031,0.000059
46,0.000070,0.000031,0.000048
46,0.000070,0.000031,0.000049
46,0.000078,0.000031,0.000053
46,0.000090,0.000031,0.000061
46,0.000070,0.000039,0.000054
46,0.000077,0.000031,0.000053
46,0.000133,0.000062,0.000052
46,0.000070,0.000031,0.000048
47,0.000090,0.000059,0.000058
47,0.000103,0.000043,0.000099
47,0.000115,0.000033,0.000094
47,0.000117,0.000036,0.000071
47,0.000092,0.000047,0.000073
47,0.000093,0.000033,0.000057
47,0.000088,0.000038,0.000060
47,0.000082,0.000032,0.000057
47,0.000081,0.000033,0.000064
47,0.000074,0.000041,0.000057
48,0.000087,0.000042,0.000069
48,0.000128,0.000039,0.000066
48,0.000087,0.000035,0.000060
48,0.000087,0.000035,0.000068
48,0.000102,0.000035,0.000060
48,0.000087,0.000035,0.000060
48,0.000080,0.000035,0.000091
48,0.000079,0.000043,0.000061
48,0.000087,0.000035,0.000060
48,0.000109,0.000045,0.000060
49,0.000090,0.000037,0.000072
49,0.000092,0.000037,0.000072
49,0.000085,0.000045,0.000064
49,0.000092,0.000050,0.000072
49,0.000085,0.000045,0.000064
49,0.000092,0.000037,0.000072
49,0.000084,0.000045,0.000064
49,0.000092,0.000037,0.000072
49,0.000105,0.000037,0.000064
49,0.000091,0.000037,0.000071
50,0.000098,0.000045,0.000076
50,0.000098,0.000039,0.000071
50,0.000092,0.000048,0.000081
50,0.000111,0.000039,0.000068
50,0.000098,0.000039,0.000100
50,0.000098,0.000039,0.000076
50,0.000096,0.000059,0.000081
50,0.000108,0.000057,0.000069
50,0.000109,0.000039,0.000087
50,0.000108,0.000040,0.000086
51,0.000105,0.000046,0.000092
51,0.000105,0.000042,0.000080
51,0.000098,0.000050,0.000072
51,0.000105,0.000050,0.000073
51,0.000115,0.000104,0.000072
51,0.000126,0.000060,0.000073
51,0.000115,0.000059,0.000073
51,0.000114,0.000042,0.000089
51,0.000098,0.000065,0.000065
51,0.000105,0.000042,0.000080
52,0.000110,0.000049,0.000084
52,0.000111,0.000044,0.000084
52,0.000134,0.000044,0.000085
52,0.000111,0.000044,0.000084
52,0.000103,0.000053,0.000076
52,0.000111,0.000053,0.000076
52,0.000124,0.000045,0.000077
52,0.000104,0.000044,0.000069
52,0.000103,0.000044,0.000068
52,0.000103,0.000043,0.000069
53,0.000120,0.000050,0.000073
53,0.000139,0.000055,0.000083
53,0.000111,0.000046,0.000073
53,0.000120,0.000047,0.000073
53,0.000135,0.000056,0.000081
53,0.000111,0.000046,0.000073
53,0.000148,0.000047,0.000081
53,0.000110,0.000046,0.000085
53,0.000111,0.000046,0.000073
53,0.000110,0.000047,0.000073
54,0.000118,0.000054,0.000077
54,0.000119,0.000049,0.000095
54,0.000118,0.000049,0.000077
54,0.000118,0.000048,0.000077
54,0.000118,0.000048,0.000077
54,0.000118,0.000060,0.000077
54,0.000119,0.000049,0.000078
54,0.000118,0.000049,0.000077
54,0.000119,0.000049,0.000077
54,0.000118,0.000058,0.000077
55,0.000126,0.000055,0.000081
55,0.000142,0.000052,0.000090
55,0.000125,0.000051,0.000109
55,0.000125,0.000051,0.000081
55,0.000125,0.000052,0.000081
55,0.000126,0.000052,0.000081
55,0.000125,0.000062,0.000082
55,0.000126,0.000052,0.000081
55,0.000125,0.000052,0.000081
55,0.000125,0.000052,0.000081
56,0.000135,0.000060,0.000086
56,0.000134,0.000055,0.000086
56,0.000133,0.000054,0.000085
56,0.000149,0.000055,0.000086
56,0.000133,0.000054,0.000085
56,0.000149,0.000054,0.000086
56,0.000134,0.000054,0.000110
56,0.000134,0.000054,0.000086
56,0.000133,0.000054,0.000086
56,0.000133,0.000055,0.000086
57,0.000151,0.000061,0.000091
57,0.000142,0.000058,0.000091
57,0.000141,0.000057,0.000090
57,0.000151,0.000057,0.000091
57,0.000141,0.000057,0.000091
57,0.000141,0.000057,0.000090
57,0.000142,0.000068,0.000091
57,0.000141,0.000057,0.000090
57,0.000156,0.000057,0.000091
57,0.000141,0.000057,0.000115
58,0.000150,0.000065,0.000095
58,0.000150,0.000060,0.000094
58,0.000149,0.000072,0.000095
58,0.000150,0.000060,0.000095
58,0.000165,0.000061,0.000105
58,0.000150,0.000077,0.000106
58,0.000156,0.000060,0.000105
58,0.000150,0.000060,0.000094
58,0.000149,0.000071,0.000095
58,0.000151,0.000090,0.000095
59,0.000179,0.000073,0.000124
59,0.000181,0.000064,0.000100
59,0.000179,0.000064,0.000110
59,0.000159,0.000063,0.000112
59,0.000160,0.000064,0.000099
59,0.000160,0.000064,0.000100
59,0.000159,0.000064,0.000112
59,0.000160,0.000064,0.000100
59,0.000159,0.000063,0.000099
59,0.000159,0.000064,0.000115
60,0.000168,0.000073,0.000104
60,0.000184,0.000067,0.000116
60,0.000187,0.000067,0.000116
60,0.000168,0.000067,0.000104
60,0.000167,0.000066,0.000104
60,0.000178,0.000066,0.000105
60,0.000168,0.000066,0.000104
60,0.000168,0.000066,0.000115
60,0.000168,0.000066,0.000104
60,0.000167,0.000066,0.000104
61,0.000178,0.000083,0.000110
61,0.000178,0.000070,0.000110
61,0.000178,0.000086,0.000110
61,0.000192,0.000070,0.000110
61,0.000178,0.000080,0.000122
61,0.000178,0.000070,0.000136
61,0.000178,0.000070,0.000110
61,0.000178,0.000070,0.000109
61,0.000188,0.000070,0.000110
61,0.000177,0.000070,0.000110
62,0.000188,0.000079,0.000129
62,0.000188,0.000073,0.000116
62,0.000187,0.000073,0.000114
62,0.000209,0.000074,0.000115
62,0.000188,0.000089,0.000115
62,0.000188,0.000074,0.000131
62,0.000187,0.000073,0.000115
62,0.000187,0.000087,0.000116
62,0.000214,0.000074,0.000116
62,0.000188,0.000074,0.000115
63,0.000198,0.000091,0.000121
63,0.000198,0.000077,0.000120
63,0.000197,0.000077,0.000121
63,0.000207,0.000077,0.000151
63,0.000219,0.000077,0.000120
63,0.000218,0.000077,0.000134
63,0.000197,0.000077,0.000121
63,0.000198,0.000087,0.000135
63,0.000198,0.000077,0.000120
63,0.000203,0.000077,0.000121
64,0.000208,0.000086,0.000128
64,0.000226,0.000081,0.000128
64,0.000218,0.000081,0.000128
64,0.000225,0.000080,0.000128
64,0.000218,0.000081,0.000128
64,0.000208,0.000080,0.000127
64,0.000207,0.000091,0.000128
64,0.000208,0.000080,0.000128
64,0.000207,0.000080,0.000140
64,0.000208,0.000080,0.000128
65,0.000221,0.000085,0.000149
65,0.000219,0.000085,0.000147
65,0.000219,0.000084,0.000132
65,0.000240,0.000085,0.000132
65,0.000220,0.000085,0.000132
65,0.000230,0.000084,0.000132
65,0.000220,0.000084,0.000132
65,0.000229,0.000085,0.000133
65,0.000219,0.000084,0.000131
65,0.000219,0.000101,0.000147
66,0.000231,0.000100,0.000138
66,0.000230,0.000118,0.000154
66,0.000239,0.000086,0.000135
66,0.000224,0.000097,0.000135
66,0.000225,0.000086,0.000135
66,0.000224,0.000096,0.000135
66,0.000225,0.000086,0.000135
66,0.000225,0.000087,0.000153
66,0.000225,0.000086,0.000156
66,0.000225,0.000086,0.000158
67,0.000236,0.000126,0.000201
67,0.000237,0.000101,0.000141
67,0.000236,0.000090,0.000141
67,0.000236,0.000100,0.000141
67,0.000236,0.000089,0.000141
67,0.000236,0.000099,0.000141
67,0.000236,0.000105,0.000141
67,0.000237,0.000109,0.000141
67,0.000236,0.000090,0.000141
67,0.000236,0.000100,0.000141
68,0.000248,0.000100,0.000147
68,0.000248,0.000103,0.000149
68,0.000251,0.000093,0.000147
68,0.000257,0.000094,0.000147
68,0.000264,0.000094,0.000147
68,0.000265,0.000094,0.000147
68,0.000248,0.000094,0.000163
68,0.000264,0.000097,0.000151
68,0.000254,0.000096,0.000151
68,0.000264,0.000097,0.000151
69,0.000267,0.000104,0.000173
69,0.000267,0.000101,0.000194
69,0.000267,0.000125,0.000175
69,0.000267,0.000101,0.000157
69,0.000286,0.000099,0.000154
69,0.000260,0.000098,0.000153
69,0.000269,0.000099,0.000154
69,0.000260,0.000099,0.000184
69,0.000267,0.000101,0.000158
69,0.000267,0.000101,0.000184
70,0.000303,0.000112,0.000165
70,0.000297,0.000105,0.000183
70,0.000301,0.000106,0.000180
70,0.000287,0.000103,0.000160
70,0.000272,0.000112,0.000176
70,0.000279,0.000105,0.000164
70,0.000303,0.000106,0.000165
70,0.000296,0.000106,0.000165
70,0.000289,0.000105,0.000164
70,0.000279,0.000105,0.000185
71,0.000301,0.000117,0.000176
71,0.000311,0.000114,0.000177
71,0.000302,0.000113,0.000217
71,0.000310,0.000127,0.000172
71,0.000302,0.000110,0.000193
71,0.000286,0.000107,0.000167
71,0.000309,0.000110,0.000171
71,0.000298,0.000110,0.000198
71,0.000294,0.000110,0.000172
71,0.000311,0.000110,0.000172
72,0.000307,0.000121,0.000206
72,0.000306,0.000115,0.000179
72,0.000316,0.000115,0.000179
72,0.000306,0.000115,0.000179
72,0.000316,0.000116,0.000179
72,0.000306,0.000131,0.000180
72,0.000307,0.000115,0.000179
72,0.000327,0.000115,0.000180
72,0.000306,0.000114,0.000206
72,0.000306,0.000135,0.000208
73,0.000332,0.000124,0.000185
73,0.000320,0.000143,0.000185
73,0.000338,0.000120,0.000185
73,0.000334,0.000120,0.000185
73,0.000321,0.000131,0.000185
73,0.000321,0.000120,0.000185
73,0.000330,0.000120,0.000185
73,0.000321,0.000129,0.000206
73,0.000335,0.000120,0.000185
73,0.000338,0.000120,0.000186
74,0.000335,0.000153,0.000194
74,0.000350,0.000125,0.000213
74,0.000335,0.000125,0.000194
74,0.000345,0.000125,0.000194
74,0.000349,0.000125,0.000234
74,0.000335,0.000124,0.000193
74,0.000344,0.000125,0.000193
74,0.000357,0.000137,0.000220
74,0.000338,0.000125,0.000194
74,0.000345,0.000125,0.000224
75,0.000382,0.000150,0.000243
75,0.000363,0.000153,0.000243
75,0.000363,0.000142,0.000256
75,0.000364,0.000142,0.000272
75,0.000378,0.000139,0.000237
75,0.000377,0.000139,0.000236
75,0.000354,0.000138,0.000254
75,0.000354,0.000138,0.000236
75,0.000408,0.000139,0.000238
75,0.000363,0.000138,0.000237
76,0.000423,0.000159,0.000266
76,0.000392,0.000179,0.000251
76,0.000381,0.000146,0.000277
76,0.000372,0.000142,0.000244
76,0.000382,0.000143,0.000244
76,0.000382,0.000143,0.000263
76,0.000372,0.000168,0.000257
76,0.000391,0.000150,0.000287
76,0.000382,0.000146,0.000263
76,0.000382,0.000146,0.000250
77,0.000410,0.000180,0.000260
77,0.000410,0.000154,0.000261
77,0.000409,0.000154,0.000261
77,0.000403,0.000164,0.000261
